knee_angle,elbow_angle,hip_angle,label
52.50708393754757,162.8387565822801,103.58132168691266,squat
0.8473239413543783,167.3935417278918,134.97112456453803,squat
74.9579377512253,175.33502274661194,137.9797129568739,squat
128.22335712723188,161.4817414394279,146.56292367297826,squat
137.66159493974158,154.51111014358258,154.70425573437953,squat
128.93226294965316,147.03792519900284,141.25076814954528,squat
102.70222184623427,7.8740185860187895,103.34028937856802,squat
91.65183780624199,2.0542179031605268,95.35763880625495,squat
77.57339299702025,3.024419323601999,81.57936669749564,squat
67.219237330147,0.10888977383115936,69.41136959880411,squat
62.90274876265394,7.104395157243977,65.69574111991993,squat
60.73033880939411,5.0749188556163425,63.86919746665009,squat
63.07234870323899,3.482320926101352,66.41063927033711,squat
68.66380862531142,0.27299874819138614,71.96182373321845,squat
73.7573442840061,9.104472741064056,77.42813320403638,squat
72.64159340026735,15.88588632157198,86.46419316217028,squat
85.5889183643215,15.470517855368753,99.7662334406398,squat
95.7991955906382,14.350247041403852,111.37970245618631,squat
108.46974479848063,7.660690910107406,122.25965892668319,squat
122.71301093435744,9.602224886562222,130.69429729454887,squat
131.66592447626775,14.545552334413976,136.8962169351111,squat
139.2516658615392,15.737654252108106,141.60668017698723,squat
147.20046195111317,28.293941195456945,146.03345684565784,squat
150.44226557757327,36.42956607226832,148.48181645780136,squat
153.81524169576616,45.663856683775165,152.1602100762266,squat
156.39118746406712,50.51186628073074,154.44828842205692,squat
161.07533067073808,38.38071291375912,158.56028463518146,squat
164.79633802882836,51.99624662521519,161.01681332670074,squat
169.56814615926993,68.65627323348025,164.69232059279472,squat
175.0826175302794,53.09420468435817,168.48726814780397,squat
179.80785745405825,53.68972935291077,172.6683777625911,squat
178.60469880054754,45.79654105124547,174.97600128513446,squat
178.55023296270514,44.701606771939275,176.12205995685184,squat
179.53588669194087,41.83444228527804,176.9360806503263,squat
179.94006676178464,37.36491939078831,178.1017844662304,squat
179.280803081919,35.953183162521945,178.8744067217063,squat
179.4929509580919,23.713727966435133,178.81997524661054,squat
179.8576287260539,15.35815829174073,178.44554448358988,squat
179.41534790852256,9.9567873415699,179.04778858313983,squat
179.33538491467664,8.129917667237951,179.49856803419814,squat
178.98843032169606,11.904464260305254,179.63293040453362,squat
178.9363695463482,9.276343951639555,179.10762080629294,squat
179.3412770808471,10.123963624985826,179.30901746022198,squat
179.16329549446743,12.886134477822635,178.86766277698013,squat
178.8991245383066,18.91959236568884,178.6664520185639,squat
178.08475212333187,29.542079092994797,178.02664314242622,squat
177.717425442506,33.69077659695046,177.65498002519283,squat
176.8390188461662,38.39922414804564,175.32164520467234,squat
175.4503491621595,50.31781493332155,172.8227736586372,squat
173.14615827180884,58.37094363010544,170.72956889935136,squat
167.8245168798782,60.20631373409961,165.61054885244178,squat
165.00497800627724,60.73339983119216,161.93714219682172,squat
159.85817994232897,51.51389056995815,158.06209381364573,squat
155.4310734430839,61.03368129604094,154.03694263648046,squat
145.4236526661507,84.6456552133272,144.21734412378805,squat
145.3013289031058,34.97568140338719,145.60228204770672,squat
144.97326533027868,9.599909211545912,146.69483236562158,squat
144.11528515378222,36.50981913336831,145.16707652144896,squat
139.21236665686095,6.69541138757467,138.81044561045715,squat
134.32475343489284,4.720199536296049,133.84303829919045,squat
131.61790913685087,11.082986293290938,129.86200090853208,squat
127.28959590591467,12.430039711891283,124.38371637330894,squat
122.16236180329426,10.79496804055099,119.03318924340033,squat
116.5353305633722,9.100284260871106,113.89168474374497,squat
111.39294070420324,15.257396892233796,108.84072515081967,squat
104.77452736554264,11.168712075523214,102.63086145705093,squat
99.1779864029718,10.373165179636715,97.09709373906428,squat
93.8801817010757,9.42302452740259,92.10711058566393,squat
89.14001894452997,13.349912735278965,88.16801685544999,squat
88.22982235828651,8.948736611539772,87.13386372894878,squat
88.0164302521249,7.602780574386209,87.391480922871,squat
88.3408515450893,6.824599997905931,87.54894479397157,squat
91.84424278548174,7.844116579157773,90.2296146919407,squat
93.56455179151097,10.02086378530219,90.98030949129847,squat
96.74414063585819,16.349671305933597,93.3215162017164,squat
107.95344801771371,8.673551728672699,103.86240276288757,squat
117.60470784749467,3.8794236583555755,113.3945404423516,squat
125.32183893811016,2.072465835937106,121.17856083314314,squat
131.65402738784869,0.034539887560373364,128.3159919397932,squat
135.85315444468662,2.068669492805585,133.0480056555915,squat
140.58948187576752,0.440591501409379,137.7979490665819,squat
145.04238962606652,0.7643541533171474,141.759638761577,squat
149.72323374457886,3.7524830978668873,146.19973152192136,squat
152.65656427174682,9.437754297510944,148.8735715663435,squat
155.32702671191524,8.333319598998457,151.90747926318116,squat
157.9949523180898,6.567429414274049,154.71471546741017,squat
160.53321192070862,3.0342329139621977,157.411955092325,squat
163.1231142697674,7.6736165437190555,159.9213018865985,squat
